x,y,RSSI
-0.06384942792356015,-0.07494581937789917,-58
-0.07129265181720257,-0.08050748147070408,-30
-0.08043343052268029,-0.0771527573466301,-62
-0.0736723743379116,-0.06703866198658943,-77
-0.06391526269726455,-0.05679909917525947,-26
-0.058423486864194275,-0.04843673459254205,-26
-0.04356191693805158,-0.03270675097592175,-26
-0.02233573799021542,-0.01062782215885818,-62
-0.00477234753780067,0.005269542755559087,-62
0.01186407171189785,0.015241234749555587,-54
0.020356844179332256,0.01864414047449827,-54
0.023614281974732875,0.020695448759943245,-54
0.02413818137720227,0.018388545140624046,-28
0.02367386631667614,0.019324906915426255,-62
0.018621814250946046,0.021468279510736467,-50
0.01778310127556324,0.021087895962409675,-48
0.012452431512065232,0.015877839107997716,-50
0.0053716910304501654,0.009858805904514156,-30
0.0014825693186139687,0.0061471590626752,-28
-0.0002534136670874432,0.00015667034022044392,-54
-0.005956276602228172,-0.0040892804769100625,-58
-0.011741185307619162,-0.004828176953014918,-58
-0.017194642245885915,-0.02054799556499347,-56
-0.03703661736799404,-0.03378319683251903,-56
-0.04545632745139301,-0.03836976131424308,-56
-0.0410602699033916,-0.03295099847018719,-75
-0.02845858968794346,-0.02950259782373905,-30
-0.021431072801351547,-0.019187671970576047,-62
-0.008993359189480543,-0.01664602095261216,-54
-0.013091588113456964,-0.022879884485155343,-54
-0.025372924376279117,-0.03650707621127367,-32
-0.03959252182394266,-0.040806484408676624,-30
-0.03838749509304762,-0.03183898916468024,-60
-0.026309870649129152,-0.015792256500571967,-36
-0.0076978033117484305,0.0016534669615793974,-36
0.009502840490313247,0.016922266205074265,-36
0.022698220127495006,0.02408213753369637,-58
0.026501126942457633,0.024024642986478283,-38
0.024098693655105308,0.01933995902654715,-56
0.019094879273325205,0.01732249343767762,-34
0.01690287282690406,0.018529583420604467,-56
0.017838443629443645,0.02291280832141638,-56
0.021999516431242226,0.03076432840898633,-36
0.03187508885748684,0.042315168352797625,-36
0.04224111766088754,0.04984052546788007,-80
0.050284829642623666,0.05509212231263518,-54
0.056862754351459446,0.056741357571445404,-36
0.05935035285074264,0.05782075983006507,-62
0.05847975353244692,0.055056379386223854,-80
0.05595738003030419,0.051635672245174645,-38
0.051635672245174645,0.048625044617801906,-36
0.04969180666375905,0.049109104950912294,-36
0.05209118963684887,0.04512304270174354,-36
0.04548671159427613,0.03104666795115918,-59
0.029972882359288633,0.015473787277005612,-34
0.010956695070490241,0.0006928358692675829,-34
-0.009105323487892747,-0.01643765908665955,-62
-0.02755785738117993,-0.02899033376015723,-80
-0.034554772172123195,-0.028563909977674485,-34
-0.03238986246287823,-0.023256483674049377,-34
-0.024268509820103645,-0.020997076760977507,-34
-0.014554666448384523,-0.01886180406436324,-54
-0.011160532082431018,-0.02207584965508431,-40
-0.021088506910018623,-0.03171090593095869,-42
-0.03334002119954675,-0.04905886759515852,-42
-0.04535633323248476,-0.05859039609786123,-60
-0.05681317935232073,-0.0566443212563172,-42
-0.056183235021308064,-0.04339841497130692,-42
-0.03739088834263384,-0.02215543040074408,-42
-0.014487081067636609,0.004242393327876926,-78
0.008424653438851237,0.023819570196792483,-80
0.027216446958482264,0.03203454557806253,-56
0.035622745379805566,0.03307342361658812,-52
0.03576457314193249,0.03251115269958973,-60
0.0365115100517869,0.03605020400136709,-62
0.03939595762640238,0.04068275820463896,-40
0.04310721699148416,0.04572937693446875,-38
0.04929333161562681,0.05281382389366627,-38
0.05734756253659725,0.05870720110833645,-66
0.0637743204832077,0.06049662083387375,-38
0.06204827427864075,0.056609720643609765,-38
0.05508231176063418,0.050396415032446386,-34
0.04426253335550427,0.04030501446686685,-34
0.03055298204999417,0.028076497628353535,-34
0.01561092825140804,0.019447050779126583,-64
0.010540168709121644,0.01864944032859057,-36
0.013220069720409811,0.018270155298523605,-70
0.014569275244139136,0.01592891358304769,-42
0.01217701192945242,0.01251692147925496,-42
0.006370714027434587,0.005011075828224421,-58
-0.0038503237999975683,-0.00484577352181077,-62
-0.01647173296660185,-0.01501497756689787,-58
-0.024616884440183638,-0.01837711539119482,-64
-0.022795473970472813,-0.012792420014739037,-58
-0.010225329548120499,-0.0070933055132627485,-56
0.0008054349571466445,-0.010773102566599847,-70
-0.0066262628883123394,-0.014464232977479697,-44
-0.012218028213828802,-0.026214621867984532,-58
-0.027473483141511677,-0.04356764992699027,-40
-0.04591258866712451,-0.053050690272357315,-42
-0.061418418714310974,-0.05697798234177753,-42
-0.05900203537894413,-0.05201383902458474,-42
-0.04265876797726378,-0.023636368790175766,-42
-0.01325600155396387,0.002304021187592298,-32
0.00877111527370289,0.018434259621426464,-36
